"t","condition","iv","dv","measure"
1,"Fruit",15,182.456370370645,"???"
2,"Fruit",15,184.760950053012,"???"
3,"Fruit",15,196.745688351795,"???"
4,"Fruit",15,197.217780433301,"???"
5,"Fruit",15,178.619146754515,"???"
6,"Fruit",15,179.874437034971,"???"
7,"Fruit",15,194.415044359547,"???"
8,"Fruit",15,182.228854876458,"???"
9,"Fruit",15,165.957501743262,"???"
10,"Fruit",15,170.306944621149,"???"
11,"Veggie",5,168.911019460693,"???"
12,"Veggie",5,197.39925800119,"???"
13,"Veggie",5,192.603989347113,"???"
14,"Veggie",5,178.197512821451,"???"
15,"Veggie",5,182.493817132732,"???"
16,"Veggie",5,176.708445620559,"???"
17,"Veggie",5,185.302868542904,"???"
18,"Veggie",5,203.012953947848,"???"
19,"Veggie",5,154.392703686697,"???"
20,"Veggie",5,188.26229789529,"???"
